company_name,company_domain,ab_pool,ab_source,company_type,ab_employee_count,ab_dev_count_bar,industry,country,annual_revenue,ab_pe_backed,ab_signal_claude_usage,ab_claude_fit,ab_claude_evidence,ab_claude_source,ab_claude_date,ab_signal_hiring,ab_signal_funding,ab_signal_news,ab_enriched_at
Stripe,stripe.com,wozcode-enterprise-claude-scale,clay-search,Privately Held,16841,"clears (>=200 devs inferred; total headcount 16,841)","Technology, Information and Internet",US,1B-10B,private (verify PE),production,strongest,"Deployed Claude Code to 1,370 engineers with a signed enterprise binary; textbook per-developer Claude usage at scale",https://claude.com/customers/stripe,2026,281 open roles; no AI/ML titles in sample,"latest round ~$6,500,000,000","Macaly integrates with Stripe, Inc.. (2026-07-24)",2026-07-29
ServiceNow,servicenow.com,wozcode-enterprise-claude-scale,clay-search,Public Company,35287,"clears (>=200 devs inferred; total headcount 35,287)",Software Development,US,10B-100B,False,production,strong,"Claude is the default model for ServiceNow Build Agent; rolled Claude out to 29,000 employees, engineers using Claude Code",https://newsroom.servicenow.com/press-releases/details/2026/ServiceNow-and-Anthropic-partner...,2026-02,"500 open roles; AI/ML roles: Principal AI Security Engineer, Senior Staff AI Security Engineer",Public company,Exclusive Networks partnered with ServiceNow on Jul 24th '26. (2026-07-24),2026-07-29
Atlassian,atlassian.com,wozcode-enterprise-claude-scale,clay-search,Public Company,16911,"clears (>=200 devs inferred; total headcount 16,911)",Software Development,AU,1B-10B,False,production,strong,"Rovo Dev built on Claude (Opus 4.7); Claude reviewer used internally across 1,900+ repos, 30.8% PR cycle-time drop",https://www.atlassian.com/blog/development/rovo-dev-with-opus-4-7,2025-2026,252 open roles; AI/ML roles: Inside Sales Account Executive EMEA - AI & Digital Natives,Public company,Emplifi integrates with Atlassian Corp.. (2026-07-22),2026-07-29
HubSpot,hubspot.com,wozcode-enterprise-claude-scale,clay-search,Public Company,12251,"clears (>=200 devs inferred; total headcount 12,251)",Software Development,US,1B-10B,False,production,strong,Engineering uses Claude Code (MCP-first) connected to internal systems; up to 40% productivity lift,https://claude.com/customers/hubspot,2026,138 open roles; AI/ML roles: Principal Machine Learning Engineer- AI Context,Public company,"HubSpot, Inc. launched Agent Hub and Agent Builder in public beta on Jul 23rd '26. (2026-07-24)",2026-07-29
Salesforce,salesforce.com,wozcode-enterprise-claude-scale,clay-search,Public Company,88276,"clears (>=200 devs inferred; total headcount 88,276)",Software Development,US,10B-100B,False,production,strong,Deploying Claude Code across global engineering via Slack MCP; Claude preferred model in Agentforce 360 (includes Slack subsidiary),https://www.salesforce.com/news/stories/claude-code-in-slack/,2025-10,1457 open roles; no AI/ML titles in sample,Public company,"Egyptair partners with Salesforce, Inc.. (2026-07-26)",2026-07-29
Canva,canva.com,wozcode-enterprise-claude-scale,clay-search,Privately Held,18214,"clears (>=200 devs inferred; total headcount 18,214)",Software Development,AU,500M-1B,private (verify PE),production,good,"Claude for Work across engineers for code generation; two-year partnership, Claude Design on Opus 4.7",https://www.anthropic.com/customers/canva,2026,245 open roles; AI/ML roles: AI Quality Evaluator - Hindi (12-month contract),"latest round ~$25,000,000",Canva integrated with Fusion Signage Pty Ltd on Jul 22nd '26. (2026-07-22),2026-07-29
Thomson Reuters,tr.com,wozcode-enterprise-claude-scale,clay-search,Public Company,36754,"clears (>=200 devs inferred; total headcount 36,754)",Software Development,CA,1B-10B,False,production,good,CoCounsel Legal rebuilt on Claude Agent SDK; Claude in Bedrock powering the CoCounsel platform,https://claude.com/customers/thomson-reuters,2026-05, open roles; no AI/ML titles in sample,Public company,Thomson Reuters Corporation acquires SafeSend Technologies Private Limited. (2025-01-02),2026-07-29
SAP,sap.com,wozcode-enterprise-claude-scale,clay-search,Public Company,147709,"clears (>=200 devs inferred; total headcount 147,709)",Software Development,DE,10B-100B,False,production,good,Claude selected as foundational model across SAP Business AI Platform and Joule agents (Sapphire 2026),https://erp.today/sap-anthropic-claude-joule-mcp/,2026,573 open roles; AI/ML roles: SAP iXp Intern - Agentic AI Solutions Engineering Intern,Public company,AvoTechs partnered with SAP SE on Jul 23rd '26. (2026-07-23),2026-07-29
PayPal,paypal.com,wozcode-enterprise-claude-scale,clay-search,Public Company,38143,"clears (>=200 devs inferred; total headcount 38,143)",Software Development,US,10B-100B,False,production,medium,Rolling out Claude Cowork across enterprise teams; partnership with Anthropic (product-embed + internal agent use),https://www.anthropic.com/webinars/deploying-cowork-across-the-enterprise-with-paypal,2026,236 open roles; AI/ML roles: Sr Lead Product Manager – ML Foundation Models,Public company,"PayPal, Inc. integrated with Polygon on Jul 9th '26. (2026-07-09)",2026-07-29
Cisco,cisco.com,wozcode-enterprise-claude-scale,clay-search,Public Company,95612,"clears (>=200 devs inferred; total headcount 95,612)",Software Development,US,1B-10B,False,production,medium,Using Claude models to find and fix vulnerabilities and accelerate security-product development; Project Glasswing member,https://www.networkworld.com/article/4155237/cisco-joins-anthropics-multivendor-effort-to-secure-ai-software.html,2026,517 open roles; AI/ML roles: AI Operations Engineering Technical Leader,Public company,"Cisco Systems, Inc launches hyper-compact, open-weight models that perform local repository-level triage. (2026-07-24)",2026-07-29
Red Hat,redhat.com,wozcode-enterprise-claude-scale,clay-search,Public Company,19532,"clears (>=200 devs inferred; total headcount 19,532)",Software Development,US,1B-10B,False,production,medium-caveat,Claude Code integrated with OpenShift AI; self-host via vLLM. CAVEAT: self-host posture reduces Anthropic-API-spend surface Wozcode targets,https://developers.redhat.com/articles/2026/07/15/run-claude-code-locally-vllm-and-openshift-ai,2026-07,189 open roles; no AI/ML titles in sample,Public company,"Red Hat, Inc. signed new client Cadillac on Jul 1st '26. (2026-07-24)",2026-07-29
